[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#11[pid=1885] abnormal exit, status=0, signal=9
[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#12[pid=1884] abnormal exit, status=0, signal=9
[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#13[pid=1883] abnormal exit, status=0, signal=9
[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=1882] abnormal exit, status=0, signal=9
[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=1881] abnormal exit, status=0, signal=9
[2019-10-01 19:55:13 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=1880] abnormal exit, status=0, signal=9
[2019-10-01 19:55:42 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=1904] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=1908] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=1914] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=1909] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=1910] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=1911] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=1913] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=1912] exit timeout, forced kill
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#9[pid=1908] abnormal exit, status=0, signal=9
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=1914] abnormal exit, status=0, signal=9
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=1913] abnormal exit, status=0, signal=9
[2019-10-01 19:55:45 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=1912] abnormal exit, status=0, signal=9
